date,category,amount,payment_method
2024-04-30,Travel,2312,Cash
2024-01-27,Bills,2532,Cash
2024-07-08,Travel,1001,Card
2024-04-30,Bills,772,UPI
2024-04-25,Bills,3439,UPI
2024-01-03,Entertainment,2129,Card
2024-04-12,Food,2767,Cash
2024-07-16,Food,2382,Cash
2024-07-18,Shopping,3426,Cash
2024-06-03,Entertainment,4574,Cash
2024-05-16,Bills,1550,UPI
2024-03-02,Food,335,UPI
2024-06-13,Bills,3545,Card
2024-02-20,Food,2115,Card
2024-06-20,Food,818,UPI
2024-05-31,Food,3107,UPI
2024-02-28,Entertainment,4339,Cash
2024-04-27,Travel,2211,Cash
2024-06-08,Bills,3343,Card
2024-04-05,Entertainment,996,UPI
2024-06-28,Entertainment,4976,Card
2024-04-22,Entertainment,3385,UPI
2024-03-02,Entertainment,4200,Cash
2024-07-04,Entertainment,4945,Card
2024-02-21,Shopping,4923,Card
2024-01-12,Bills,1531,UPI
2024-02-08,Entertainment,1951,Cash
2024-05-09,Bills,3501,Card
2024-05-10,Shopping,4114,Cash
2024-04-22,Shopping,104,Card
2024-04-10,Bills,1873,Cash
2024-04-22,Food,3512,UPI
2024-07-02,Travel,3129,Card
2024-03-21,Food,882,Card
2024-07-05,Food,4458,Cash
2024-04-22,Food,2856,Cash
2024-01-02,Entertainment,2540,Card
2024-05-09,Shopping,377,UPI
2024-02-23,Food,3360,Cash
2024-03-27,Shopping,3350,Cash
2024-05-08,Bills,3725,Cash
2024-05-26,Travel,3104,Card
2024-05-05,Bills,2193,Card
2024-05-09,Bills,1361,Card
2024-02-22,Entertainment,3241,Card
2024-06-20,Travel,2588,UPI
2024-06-08,Bills,4033,UPI
2024-07-16,Bills,4597,Card
2024-06-08,Travel,214,UPI
2024-03-08,Travel,4327,Cash
2024-07-01,Bills,872,Cash
2024-07-02,Travel,993,Cash
2024-05-02,Bills,4475,Card
2024-05-24,Bills,824,Cash
2024-02-07,Entertainment,2248,UPI
2024-01-24,Food,3206,Card
2024-03-09,Bills,4292,UPI
2024-04-25,Shopping,3745,Cash
2024-04-07,Food,3502,Cash
2024-07-16,Food,964,Cash
2024-05-18,Food,1358,Card
2024-05-23,Entertainment,4227,UPI
2024-04-06,Bills,563,Card
2024-05-03,Entertainment,1970,Card
2024-07-05,Bills,3644,Cash
2024-03-10,Entertainment,4891,Card
2024-04-02,Entertainment,1459,Card
2024-01-03,Shopping,4852,Cash
2024-05-27,Entertainment,4616,Card
2024-07-05,Travel,3240,Cash
2024-06-12,Shopping,4541,Cash
2024-05-26,Entertainment,1605,Cash
2024-03-30,Food,854,Cash
2024-07-13,Travel,1329,Card
2024-05-26,Travel,3627,Cash
2024-05-27,Travel,2951,Cash
2024-04-05,Shopping,1437,Card
2024-07-17,Entertainment,4738,Card
2024-02-21,Entertainment,2811,UPI
2024-06-09,Food,2729,Card
2024-06-16,Food,2156,Card
2024-05-07,Travel,4273,UPI
2024-02-08,Food,4881,Card
2024-03-22,Shopping,2818,Card
2024-04-13,Entertainment,4003,Card
2024-05-08,Travel,3236,Card
2024-01-11,Food,3330,UPI
2024-07-03,Shopping,2623,Card
2024-06-26,Shopping,4666,Card
2024-05-30,Food,2649,UPI
2024-06-07,Entertainment,4083,Cash
2024-02-11,Food,286,UPI
2024-04-08,Travel,1354,Cash
2024-01-07,Food,3480,UPI
2024-05-23,Shopping,1351,UPI
2024-03-30,Food,2591,Card
2024-04-21,Entertainment,2101,Cash
2024-02-29,Bills,491,Card
2024-04-22,Food,2126,Cash
2024-01-02,Entertainment,3230,UPI
2024-05-08,Entertainment,2707,UPI
2024-02-17,Shopping,3848,Cash
2024-05-19,Entertainment,854,Card
2024-07-15,Entertainment,124,Card
2024-02-06,Entertainment,2225,Card
2024-06-08,Entertainment,3974,Card
2024-01-09,Travel,2139,UPI
2024-04-08,Travel,90,UPI
2024-05-26,Shopping,2131,UPI
2024-02-17,Food,4733,UPI
2024-05-10,Entertainment,1672,UPI
2024-05-27,Food,391,Card
2024-05-31,Food,4102,Card
2024-02-23,Shopping,2124,Card
2024-04-29,Entertainment,695,Card
2024-06-09,Entertainment,4876,UPI
2024-05-31,Bills,4313,UPI
2024-04-25,Food,659,UPI
2024-03-15,Food,504,Cash
2024-04-22,Travel,3003,Card
2024-07-18,Bills,1758,Card
2024-06-12,Travel,3522,UPI
2024-06-14,Travel,3019,Card
2024-04-13,Travel,3078,Card
2024-03-24,Shopping,4847,UPI
2024-04-21,Shopping,2731,Cash
2024-04-08,Travel,3679,Cash
2024-06-01,Bills,4275,Cash
2024-04-02,Food,3117,UPI
2024-05-25,Bills,1436,Card
2024-05-07,Entertainment,3826,UPI
2024-04-19,Shopping,2916,UPI
2024-03-22,Food,4838,Card
2024-07-12,Food,3413,Cash
2024-02-23,Entertainment,4939,Cash
2024-06-11,Entertainment,4174,UPI
2024-07-07,Travel,198,Cash
2024-06-17,Shopping,3900,UPI
2024-06-09,Shopping,2108,UPI
2024-03-08,Bills,1186,Card
2024-02-02,Travel,236,Card
2024-05-21,Travel,2904,Card
2024-01-21,Travel,1300,UPI
2024-02-17,Travel,1383,Card
2024-05-27,Shopping,4243,Cash
2024-05-07,Shopping,4200,Cash
2024-05-15,Travel,2761,UPI
2024-05-14,Bills,4903,UPI
2024-07-13,Food,4551,Card
2024-05-24,Food,1835,UPI
2024-05-07,Bills,800,UPI
2024-02-02,Travel,1812,Cash
2024-06-24,Shopping,3970,Cash
2024-07-05,Food,4510,Card
2024-04-24,Entertainment,531,UPI
2024-04-28,Entertainment,203,UPI
2024-01-22,Bills,1574,Cash
2024-06-06,Travel,2170,UPI
2024-02-07,Food,2393,Cash
2024-04-18,Travel,1290,Card
2024-02-20,Food,110,Cash
2024-06-30,Bills,988,UPI
2024-01-08,Bills,1689,Card
2024-01-27,Entertainment,4170,Cash
2024-01-27,Travel,4276,Cash
2024-01-21,Entertainment,3619,Card
2024-01-30,Travel,1302,Card
2024-04-06,Entertainment,4253,Cash
2024-01-28,Shopping,221,UPI
2024-04-20,Shopping,1508,Cash
2024-07-10,Shopping,3599,Card
2024-07-15,Shopping,4247,Cash
2024-03-01,Food,2372,Card
2024-02-17,Shopping,1686,Card
2024-05-26,Bills,3165,UPI
2024-01-04,Bills,4140,Card
2024-02-04,Food,3054,Card
2024-07-10,Shopping,379,UPI
2024-02-18,Shopping,3690,Card
2024-01-17,Shopping,3944,UPI
2024-06-20,Entertainment,4157,UPI
2024-06-06,Travel,1391,Card
2024-02-15,Entertainment,3713,Card
2024-04-26,Travel,265,Cash
2024-01-06,Shopping,388,UPI
2024-04-08,Shopping,4112,Cash
2024-05-03,Entertainment,2758,Card
2024-02-06,Entertainment,3202,Cash
2024-01-24,Travel,1800,UPI
2024-04-02,Bills,2471,Cash
2024-02-15,Travel,759,UPI
2024-06-29,Entertainment,3776,Card
2024-04-04,Entertainment,3692,Card
2024-04-08,Food,4043,UPI
2024-07-06,Entertainment,538,Card
2024-04-25,Food,96,Card
2024-07-09,Bills,3409,Card
2024-06-08,Travel,4923,Card
2024-06-09,Travel,4856,UPI
2024-03-07,Food,450,Cash
2024-05-07,Travel,4040,Cash
2024-01-18,Entertainment,3207,Card
2024-01-25,Shopping,4395,Cash
2024-02-23,Food,440,Cash
2024-02-27,Travel,3903,Card
2024-03-07,Food,4480,Card
2024-04-13,Food,678,Cash
2024-06-22,Shopping,4282,UPI
2024-01-24,Entertainment,2980,Card
2024-04-23,Food,1571,UPI
2024-02-01,Travel,876,Cash
2024-06-23,Bills,4872,Card
2024-03-26,Food,1550,UPI
2024-05-30,Food,3344,Card
2024-07-12,Shopping,2469,Cash
2024-05-06,Entertainment,984,UPI
2024-06-03,Bills,3092,Cash
2024-05-09,Travel,4547,Cash
2024-01-17,Bills,1516,Card
2024-04-13,Travel,3611,UPI
2024-06-09,Entertainment,664,Cash
2024-05-16,Travel,1232,Cash
2024-02-12,Shopping,3273,UPI
2024-06-24,Shopping,2717,Cash
2024-02-08,Shopping,180,Cash
2024-06-18,Shopping,3033,UPI
2024-01-26,Bills,4328,UPI
2024-04-08,Entertainment,4509,UPI
2024-02-19,Travel,88,UPI
2024-06-01,Travel,4009,Card
2024-05-31,Shopping,3637,UPI
2024-01-13,Shopping,970,Card
2024-02-29,Food,2819,Card
2024-05-14,Entertainment,4161,Card
2024-02-26,Bills,542,Cash
2024-02-05,Travel,1181,Card
2024-06-21,Food,3571,Card
2024-01-20,Food,360,Cash
2024-03-05,Travel,788,Cash
2024-01-08,Bills,3291,Cash
2024-05-23,Food,595,UPI
2024-05-21,Food,2511,Cash
2024-04-24,Entertainment,4396,Cash
2024-05-22,Bills,4904,Card
2024-04-01,Food,1854,Cash
2024-04-07,Bills,3262,UPI
2024-03-06,Travel,3860,Cash
2024-02-01,Shopping,863,UPI
2024-07-09,Food,4174,Cash
2024-03-26,Entertainment,2082,Cash
2024-02-20,Travel,4622,Cash
2024-06-01,Bills,4463,Cash
2024-07-04,Travel,294,UPI
2024-03-03,Food,4893,UPI
2024-07-08,Bills,4842,Card
2024-05-04,Shopping,321,UPI
2024-05-29,Travel,3561,Cash
2024-02-27,Food,1821,Card
2024-02-27,Entertainment,1312,Card
2024-03-26,Bills,2474,Card
2024-02-18,Travel,4411,Cash
2024-06-28,Travel,970,UPI
2024-06-18,Shopping,3480,Cash
2024-03-10,Shopping,4485,Card
2024-01-15,Entertainment,4534,Cash
2024-02-23,Entertainment,2674,Cash
2024-07-06,Food,3810,UPI
2024-04-10,Food,2100,UPI
2024-01-08,Entertainment,3550,Card
2024-02-22,Entertainment,1215,Cash
2024-02-29,Bills,425,Cash
2024-04-17,Shopping,2083,UPI
2024-01-05,Food,195,Cash
2024-04-12,Shopping,4438,Cash
2024-07-14,Shopping,481,Cash
2024-01-06,Entertainment,754,UPI
2024-04-18,Bills,2682,Card
2024-04-25,Travel,4544,Card
2024-04-03,Bills,1013,Cash
2024-02-16,Bills,2284,Card
2024-04-08,Shopping,2091,UPI
2024-02-24,Bills,1878,UPI
2024-06-16,Food,2158,Card
2024-02-21,Shopping,4118,Card
2024-05-23,Food,988,Cash
2024-01-13,Travel,4855,Card
2024-04-23,Shopping,856,Cash
2024-05-03,Travel,1513,Cash
2024-04-15,Shopping,3465,UPI
2024-06-06,Entertainment,60,UPI
2024-05-26,Bills,1918,UPI
2024-05-24,Entertainment,4917,UPI
2024-04-29,Travel,934,Card
2024-03-03,Bills,3614,UPI
2024-01-19,Shopping,1439,Card
2024-04-01,Bills,3451,UPI
2024-02-27,Food,4371,Card
2024-07-01,Bills,874,Cash
2024-03-30,Food,2315,Card
2024-04-26,Bills,986,Card
2024-03-02,Food,2850,UPI
2024-01-23,Travel,2603,Card
2024-05-06,Entertainment,3895,Cash
2024-05-16,Shopping,1846,Cash
2024-05-19,Bills,103,UPI
2024-05-08,Entertainment,776,Cash
2024-02-27,Shopping,2786,Card
2024-05-01,Shopping,3220,Cash
2024-01-01,Food,1963,UPI
2024-02-03,Travel,1646,Card
2024-04-05,Travel,1964,UPI
2024-05-05,Entertainment,2516,Card
2024-04-27,Travel,2787,Cash
2024-02-17,Bills,899,UPI
2024-03-29,Travel,2159,UPI
2024-04-26,Entertainment,52,Card
2024-05-08,Travel,4305,UPI
2024-01-16,Bills,4119,Card
